Id,m4,m5,m6
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,us-east-2:ECS/ContainerInsights ClusterName:teastore-cluster ServiceName:teastore-webui-task-service-sft1xyx4 MemoryUtilized Average 60,us-east-2:ECS/ContainerInsights ClusterName:teastore-cluster ServiceName:teastore-db-task-service-z4mgxdbh MemoryUtilized Average 60,us-east-2:ECS/ContainerInsights ClusterName:teastore-cluster ServiceName:teastore-recommender-task-service-7ogqj9vy MemoryUtilized Average 60
Label,teastore-webui-task-service-sft1xyx4,teastore-db-task-service-z4mgxdbh,teastore-recommender-task-service-7ogqj9vy
2026/04/23 21:09:00,427,,293
2026/04/23 21:10:00,446,,293
2026/04/23 21:11:00,495,,293
2026/04/23 21:12:00,514,,294
2026/04/23 21:13:00,501,,294
2026/04/23 21:14:00,517,,294
2026/04/23 21:15:00,527,,294
