Id,m3,m1,m2
StatusCode,Complete,Complete,Complete
Messages,,,
Full label,us-east-2:ECS/ContainerInsights ClusterName:teastore-cluster ServiceName:teastore-recommender-task-service-7ogqj9vy CpuUtilized Average 60,us-east-2:ECS/ContainerInsights ClusterName:teastore-cluster ServiceName:teastore-webui-task-service-sft1xyx4 CpuUtilized Average 60,us-east-2:ECS/ContainerInsights ClusterName:teastore-cluster ServiceName:teastore-db-task-service-z4mgxdbh CpuUtilized Average 60
Label,teastore-recommender-task-service-7ogqj9vy,teastore-webui-task-service-sft1xyx4,teastore-db-task-service-z4mgxdbh
2026/04/23 21:09:00,10.54457275390625,15.615938313802085,
2026/04/23 21:10:00,35.28722615559895,324.72656697591145,
2026/04/23 21:11:00,55.65152669270833,511.3021744791667,
2026/04/23 21:12:00,44.18935221354167,505.44812500000006,
2026/04/23 21:13:00,35.529111328125,506.812734375,
2026/04/23 21:14:00,40.444768880208336,510.58640625,
2026/04/23 21:15:00,19.616327311197917,181.43542399088543,
